"playerid","round_num","group_coop","decision0d1c","group","condition","session","ingroup","biased","identities","empanel_id"
"jxy012QP",1,3,1,"2","Biased-4","e2.1_2017-09-03",0,1,1,"4224777765_78419_01"
"jxy012QP",1,2,0,"2","Biased-4","e2.1_2017-09-03",1,1,1,"4224777765_78419_01"
"kACbxuMS",1,2,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"053633_S02_01"
"kACbxuMS",1,1,1,"1","Unbiased-4","e2.5_2017-09-07",1,0,1,"053633_S02_01"
"kACbxuMS",1,0,1,"1","Unbiased-4","e2.5_2017-09-07",0,0,1,"053633_S02_01"
"kJ508QX4",1,3,0,"2","Biased-4","e2.1_2017-09-03",0,1,1,"147028_3992_01"
"kJ508QX4",1,2,1,"2","Biased-4","e2.1_2017-09-03",1,1,1,"147028_3992_01"
"Kpefbwlv",1,0,1,"0","Biased-2","e2.3_2017-08-31",1,1,0,"4210172616_78419_01"
"Kpefbwlv",1,1,0,"0","Biased-2","e2.3_2017-08-31",0,1,0,"4210172616_78419_01"
"Kwi2XJew",1,1,1,"0","Biased-2","e2.4_2017-08-31",0,1,0,"1701598304_78419_01"
